ngram,match_count,selectivity,bucket_lo,bucket_hi,bucket_span,rows_in_buckets,prune_rate,time_full_ms,time_fp_ms,speedup
"""en",23,1.8721954715335935e-06,0,0,1,46114,0.9962463294793783,999.1717919999994,59.50387500000076,16.79170964916128
"""fa",28,2.279194487084375e-06,0,0,1,46114,0.9962463294793783,997.7836250000003,102.39825000000025,9.744147238844393
"""k""",1,8.139980311015624e-08,0,0,1,46114,0.9962463294793783,1011.367958000001,54.78862500000048,18.459451355094092
#28,83,6.756183658142968e-06,0,0,1,46114,0.9962463294793783,1021.120542000002,233.40250000000395,4.374934038838422
#86,6,4.883988186609374e-07,0,0,1,46114,0.9962463294793783,1027.073124999994,51.87674999999814,19.79833210445972
#eg,1,8.139980311015624e-08,0,0,1,46114,0.9962463294793783,1024.7612500000046,59.76187499999952,17.14740794193644
#kn,3,2.441994093304687e-07,0,0,1,46114,0.9962463294793783,1023.3210419999991,59.948958999996194,17.06987175540553
#kt,1,8.139980311015624e-08,0,0,1,46114,0.9962463294793783,1051.7969579999972,80.96695800000475,12.990446769655534
#pf,1,8.139980311015624e-08,0,0,1,46114,0.9962463294793783,1046.6890830000038,58.86033299999838,17.782588538872737
#xm,1,8.139980311015624e-08,0,0,1,46114,0.9962463294793783,1030.942875000008,57.25625000000889,18.005770112430486
$0-,1,8.139980311015624e-08,0,0,1,46114,0.9962463294793783,985.9517500000123,57.58337500000721,17.122159824773885
& b,1,8.139980311015624e-08,0,0,1,46114,0.9962463294793783,981.9992079999906,57.31066599999224,17.134667532918282
&fr,1,8.139980311015624e-08,0,0,1,46114,0.9962463294793783,989.712916000002,52.170832999991035,18.970617471263534
(fl,2,1.6279960622031248e-07,0,0,1,46114,0.9962463294793783,995.475084000006,59.064958999996975,16.853902903751393
(fo,2,1.6279960622031248e-07,0,0,1,46114,0.9962463294793783,1017.4789160000159,58.535125000020116,17.382365135457835
(ho,4,3.2559921244062496e-07,0,0,1,46114,0.9962463294793783,1013.0693340000221,58.559333000005154,17.29987829608532
(sa,7,5.697986217710937e-07,0,0,1,46114,0.9962463294793783,1014.5627090000175,51.80362500001934,19.584782126726438
**h,2,1.6279960622031248e-07,0,0,1,46114,0.9962463294793783,989.0943749999792,58.35620900001004,16.949256847712796
+1m,1,8.139980311015624e-08,0,0,1,46114,0.9962463294793783,986.8896250000034,58.17641699999854,16.963740221403256
-di,1,8.139980311015624e-08,0,0,1,46114,0.9962463294793783,992.8696249999973,51.41862499999661,19.30953278116758
"0,6",1,8.139980311015624e-08,0,0,1,46114,0.9962463294793783,1012.8140409999844,59.87404199998991,16.915745240652953
09h,2,1.6279960622031248e-07,0,0,1,46114,0.9962463294793783,985.6250829999738,60.597666999996136,16.265066491751845
1.0,39,3.174592321296093e-06,1,1,1,48986,0.9960125492448458,1006.4794580000012,51.99041700001317,19.358941821908186
11.,3814,0.00031045884906213587,1,1,1,48986,0.9960125492448458,1021.3917920000029,125.65087500001937,8.128807634645167
118,82,6.674783855032811e-06,1,1,1,48986,0.9960125492448458,1035.377957999998,262.6495840000018,3.942050629708939
122,83,6.756183658142968e-06,1,1,1,48986,0.9960125492448458,1030.6270829999846,378.61466600000426,2.7221002659204254
162,52,4.232789761728125e-06,2,2,1,45630,0.9962857269840836,1030.1419580000015,246.33512500000165,4.1818719843546255
167,55,4.476989171058593e-06,2,2,1,45630,0.9962857269840836,1013.0805830000043,356.19070899997496,2.844208333912706
168,54,4.395589367948437e-06,2,2,1,45630,0.9962857269840836,1041.0800000000222,350.07787500001086,2.9738526035099757
178,63,5.128187595939843e-06,2,2,1,45630,0.9962857269840836,1036.8780000000015,431.391417000043,2.403566596689841
"18,",14,1.1395972435421874e-06,2,2,1,45630,0.9962857269840836,1014.1589579999959,60.111667000001034,16.871249935557078
19-,89,7.244582476803905e-06,2,2,1,45630,0.9962857269840836,1039.972458999955,223.12808300000597,4.6608765916746
1a1,1,8.139980311015624e-08,2,2,1,45630,0.9962857269840836,994.012540999961,54.32308400003194,18.298161072728796
1am,3,2.441994093304687e-07,2,2,1,45630,0.9962857269840836,1028.5370409999928,59.87675000000081,17.17756960756853
2 +,14,1.1395972435421874e-06,2,2,1,45630,0.9962857269840836,1008.5875420000434,59.073667000006935,17.073386387202355
2 6,1,8.139980311015624e-08,2,2,1,45630,0.9962857269840836,1026.281708000056,59.970374999977594,17.11314474856026
2 r,26,2.1163948808640624e-06,2,2,1,45630,0.9962857269840836,1037.34504199997,57.81624999997348,17.942101779351752
21o,2,1.6279960622031248e-07,3,3,1,46826,0.9961883728195638,1039.8032499999772,59.939917000008336,17.347425589525468
24g,2,1.6279960622031248e-07,4,4,1,48691,0.9960365621867634,1029.6817500000088,57.781417000001056,17.82029246530922
26p,1,8.139980311015624e-08,4,4,1,48691,0.9960365621867634,1018.907458000001,60.856375000014395,16.74282206259837
2ni,4,3.2559921244062496e-07,4,4,1,48691,0.9960365621867634,1016.9059160000415,58.89970799995581,17.265041721442905
3.d,3,2.441994093304687e-07,4,4,1,48691,0.9960365621867634,1000.2379160000032,57.728499999996075,17.326587664672928
"32,",1,8.139980311015624e-08,5,5,1,47204,0.9961576036939882,1049.4680420000009,61.1360419999869,17.166110328179663
32:,1,8.139980311015624e-08,5,5,1,47204,0.9961576036939882,1011.9365839999546,51.750457999958144,19.554157066605537
343,17,1.383796652872656e-06,5,5,1,47204,0.9961576036939882,1003.7146249999864,58.9717080000014,17.020273942209077
35.,67,5.4537868083804675e-06,5,5,1,47204,0.9961576036939882,1005.9865409999702,271.3680830000271,3.707092337015439
35t,39,3.174592321296093e-06,5,5,1,47204,0.9961576036939882,1027.8003750000266,323.87029099999154,3.173493844793728
3ja,1,8.139980311015624e-08,5,5,1,47204,0.9961576036939882,1010.7186669999919,58.693790999996054,17.22019739703063
3x3,22,1.7907956684234373e-06,5,5,1,47204,0.9961576036939882,1042.4348330000157,53.5204580000368,19.477315253903452
4 p,61,4.96538798971953e-06,5,5,1,47204,0.9961576036939882,1032.4433330000033,360.07875000001377,2.867270931705811
4 z,4,3.2559921244062496e-07,5,5,1,47204,0.9961576036939882,1038.7858749999737,60.61483300004511,17.137486380589394
4 à,1,8.139980311015624e-08,5,5,1,47204,0.9961576036939882,1154.7805000000153,57.22308299999668,20.180326530118666
405,35,2.8489931088554683e-06,5,5,1,47204,0.9961576036939882,1045.6065829999943,370.1175420000027,2.825066267731743
43j,1,8.139980311015624e-08,5,5,1,47204,0.9961576036939882,1018.0373750000058,60.11479099998951,16.934890033971563
464,30,2.4419940933046872e-06,5,5,1,47204,0.9961576036939882,987.984707999999,57.62608300000238,17.144748637521626
46e,2,1.6279960622031248e-07,5,5,1,47204,0.9961576036939882,1010.507500000017,53.082582999991246,19.03651711899897
47 ,76,6.186385036371874e-06,5,5,1,47204,0.9961576036939882,1030.7233330000258,248.16950000001725,4.153303822588812
495,10,8.139980311015623e-07,5,5,1,47204,0.9961576036939882,1013.04058300002,52.01291699995636,19.476711583026
5*7,1,8.139980311015624e-08,5,5,1,47204,0.9961576036939882,1023.8178339999422,60.03633299997091,17.053303938474027
"5,9",1,8.139980311015624e-08,5,5,1,47204,0.9961576036939882,1002.5967500000661,58.73004199997922,17.07127588978092
5.-,13,1.0581974404320312e-06,5,5,1,47204,0.9961576036939882,1000.7234999999355,51.79537499998332,19.320711550022715
53a,1,8.139980311015624e-08,5,5,1,47204,0.9961576036939882,1020.0409169999602,59.93716599994059,17.018504294997385
