bits,source,prefix,query,run,time_s
1,view,jos,full,0,0.03196829202352092
1,view,jos,full,1,0.033223750011529773
1,view,jos,full,2,0.031307917030062526
1,view,jos,full,3,0.03138337499694899
1,view,jos,full,4,0.031203916994854808
1,view,jos,full,5,0.03129070904105902
1,view,jos,full,6,0.032488875032868236
1,view,jos,full,7,0.03133441699901596
1,view,jos,full,8,0.03126079199137166
1,view,jos,full,9,0.03150408301735297
1,view,jos,fp_exact,0,0.029718249978031963
1,view,jos,fp_exact,1,0.028254166012629867
1,view,jos,fp_exact,2,0.027094833028968424
1,view,jos,fp_exact,3,0.028610459004994482
1,view,jos,fp_exact,4,0.029810499981977046
1,view,jos,fp_exact,5,0.027815292007289827
1,view,jos,fp_exact,6,0.029917542007751763
1,view,jos,fp_exact,7,0.029212875000666827
1,view,jos,fp_exact,8,0.028010374982841313
1,view,jos,fp_exact,9,0.02863479097140953
1,view,2012,full,0,0.03214149997802451
1,view,2012,full,1,0.0338717499980703
1,view,2012,full,2,0.032814959005918354
1,view,2012,full,3,0.03210654202848673
1,view,2012,full,4,0.032075374969281256
1,view,2012,full,5,0.032231541990768164
1,view,2012,full,6,0.032005125016439706
1,view,2012,full,7,0.032034375006332994
1,view,2012,full,8,0.032321957987733185
1,view,2012,full,9,0.03228137502446771
1,view,2012,fp_exact,0,0.02913483401061967
1,view,2012,fp_exact,1,0.032084250007756054
1,view,2012,fp_exact,2,0.030199665983673185
1,view,2012,fp_exact,3,0.02989308297401294
1,view,2012,fp_exact,4,0.02995145897148177
1,view,2012,fp_exact,5,0.029702417028602213
1,view,2012,fp_exact,6,0.029795292008202523
1,view,2012,fp_exact,7,0.03002275002654642
1,view,2012,fp_exact,8,0.029858791967853904
1,view,2012,fp_exact,9,0.029650958022102714
1,view,the,full,0,0.03101591597078368
1,view,the,full,1,0.03120679099811241
1,view,the,full,2,0.03274870797758922
1,view,the,full,3,0.031665541988331825
1,view,the,full,4,0.032267000002320856
1,view,the,full,5,0.03141979197971523
1,view,the,full,6,0.031331833044532686
1,view,the,full,7,0.03106645803200081
1,view,the,full,8,0.03087637503631413
1,view,the,full,9,0.03120008297264576
1,view,the,fp_exact,0,0.02939433400752023
1,view,the,fp_exact,1,0.027864040981512517
1,view,the,fp_exact,2,0.030017082986887544
1,view,the,fp_exact,3,0.029680709005333483
1,view,the,fp_exact,4,0.029729540983680636
1,view,the,fp_exact,5,0.028421916998922825
1,view,the,fp_exact,6,0.02989225002238527
1,view,the,fp_exact,7,0.028373375011142343
1,view,the,fp_exact,8,0.02887458400800824
1,view,the,fp_exact,9,0.02798654098296538
