bits,source,prefix,query,run,time_s
8,view,jos,full,0,0.03350808296818286
8,view,jos,full,1,0.032159792026504874
8,view,jos,full,2,0.031537207949440926
8,view,jos,full,3,0.03127104201121256
8,view,jos,full,4,0.03143291699234396
8,view,jos,full,5,0.031148542009759694
8,view,jos,full,6,0.03116487496299669
8,view,jos,full,7,0.032830625015776604
8,view,jos,full,8,0.031117500038817525
8,view,jos,full,9,0.03116270899772644
8,view,jos,fp_exact,0,0.023174499976448715
8,view,jos,fp_exact,1,0.022291042027063668
8,view,jos,fp_exact,2,0.023164708982221782
8,view,jos,fp_exact,3,0.019529584038536996
8,view,jos,fp_exact,4,0.019010999996680766
8,view,jos,fp_exact,5,0.023606750008184463
8,view,jos,fp_exact,6,0.025181332952342927
8,view,jos,fp_exact,7,0.022426499985158443
8,view,jos,fp_exact,8,0.022403832990676165
8,view,jos,fp_exact,9,0.024676791043020785
8,view,2012,full,0,0.0319870839593932
8,view,2012,full,1,0.03168404201278463
8,view,2012,full,2,0.03143454098608345
8,view,2012,full,3,0.031731291965115815
8,view,2012,full,4,0.0332970839808695
8,view,2012,full,5,0.03180191700812429
8,view,2012,full,6,0.031811917026061565
8,view,2012,full,7,0.031474541989155114
8,view,2012,full,8,0.03156558400951326
8,view,2012,full,9,0.03204366599675268
8,view,2012,fp_exact,0,0.02137874998152256
8,view,2012,fp_exact,1,0.02099391695810482
8,view,2012,fp_exact,2,0.02216458402108401
8,view,2012,fp_exact,3,0.024900416960008442
8,view,2012,fp_exact,4,0.020469541021157056
8,view,2012,fp_exact,5,0.021871291974093765
8,view,2012,fp_exact,6,0.02133504202356562
8,view,2012,fp_exact,7,0.02221266698325053
8,view,2012,fp_exact,8,0.023912457982078195
8,view,2012,fp_exact,9,0.024449791992083192
8,view,the,full,0,0.03133004094706848
8,view,the,full,1,0.03110479103634134
8,view,the,full,2,0.03158933302620426
8,view,the,full,3,0.03262020798865706
8,view,the,full,4,0.03218920802464709
8,view,the,full,5,0.03263291699113324
8,view,the,full,6,0.03242054197471589
8,view,the,full,7,0.032358125026803464
8,view,the,full,8,0.032616375014185905
8,view,the,full,9,0.03246937500080094
8,view,the,fp_exact,0,0.02019150002161041
8,view,the,fp_exact,1,0.024063792021479458
8,view,the,fp_exact,2,0.018707542039919645
8,view,the,fp_exact,3,0.027085374982561916
8,view,the,fp_exact,4,0.024394833017140627
8,view,the,fp_exact,5,0.020575875008944422
8,view,the,fp_exact,6,0.020706125011201948
8,view,the,fp_exact,7,0.02195583301363513
8,view,the,fp_exact,8,0.025889957963954657
8,view,the,fp_exact,9,0.018391541962046176
8,view,a,full,0,0.03160337504232302
8,view,a,full,1,0.031182667007669806
8,view,a,full,2,0.03169316699495539
8,view,a,full,3,0.03280429099686444
8,view,a,full,4,0.031160041980911046
8,view,a,full,5,0.031155292002949864
8,view,a,full,6,0.032885749998968095
8,view,a,full,7,0.03201833297498524
8,view,a,full,8,0.03132033295696601
8,view,a,full,9,0.03285254200454801
8,view,a,fp_exact,0,0.024730334000196308
8,view,a,fp_exact,1,0.020503666019067168
8,view,a,fp_exact,2,0.02171133301453665
8,view,a,fp_exact,3,0.02021350001450628
8,view,a,fp_exact,4,0.019534541992470622
8,view,a,fp_exact,5,0.024239666992798448
8,view,a,fp_exact,6,0.02217933296924457
8,view,a,fp_exact,7,0.023944374988786876
8,view,a,fp_exact,8,0.02148704102728516
8,view,a,fp_exact,9,0.024658125010319054
8,view,(,full,0,0.03219100000569597
8,view,(,full,1,0.032306790992151946
8,view,(,full,2,0.032548542018048465
8,view,(,full,3,0.0325069579994306
8,view,(,full,4,0.032317333039827645
8,view,(,full,5,0.03332450002199039
8,view,(,full,6,0.032183250004891306
8,view,(,full,7,0.032238915970083326
8,view,(,full,8,0.03388624999206513
8,view,(,full,9,0.032107958977576345
8,view,(,fp_exact,0,0.029770834022201598
8,view,(,fp_exact,1,0.028503708017524332
8,view,(,fp_exact,2,0.028835499950218946
8,view,(,fp_exact,3,0.02923133398871869
8,view,(,fp_exact,4,0.027029499993659556
8,view,(,fp_exact,5,0.030583000043407083
8,view,(,fp_exact,6,0.029650999989826232
8,view,(,fp_exact,7,0.029882792034186423
8,view,(,fp_exact,8,0.029971749987453222
8,view,(,fp_exact,9,0.026951125008054078
8,view,#,full,0,0.032070750021375716
8,view,#,full,1,0.032129041966982186
8,view,#,full,2,0.03307233296800405
8,view,#,full,3,0.03201224998338148
8,view,#,full,4,0.03182949998881668
8,view,#,full,5,0.03170183300971985
8,view,#,full,6,0.03173733298899606
8,view,#,full,7,0.03229716600617394
8,view,#,full,8,0.03224383300403133
8,view,#,full,9,0.03195416700327769
8,view,#,fp_exact,0,0.01857791596557945
8,view,#,fp_exact,1,0.024898250005207956
8,view,#,fp_exact,2,0.023846832977142185
8,view,#,fp_exact,3,0.02366333402460441
8,view,#,fp_exact,4,0.02487291704164818
8,view,#,fp_exact,5,0.024181541986763477
8,view,#,fp_exact,6,0.02169295895146206
8,view,#,fp_exact,7,0.028268124966416508
8,view,#,fp_exact,8,0.024885291990358382
8,view,#,fp_exact,9,0.020604292047210038
8,table,jos,full,0,0.004102666978724301
8,table,jos,full,1,0.0041911250445991755
8,table,jos,full,2,0.0040651659946888685
8,table,jos,full,3,0.00417091598501429
8,table,jos,full,4,0.0041490839794278145
8,table,jos,full,5,0.00417262502014637
8,table,jos,full,6,0.004226165998261422
8,table,jos,full,7,0.0042385419947095215
8,table,jos,full,8,0.0040951669798232615
8,table,jos,full,9,0.004129042034037411
8,table,jos,fp_exact,0,0.003922749951016158
8,table,jos,fp_exact,1,0.003695000021252781
8,table,jos,fp_exact,2,0.0036467909812927246
8,table,jos,fp_exact,3,0.0036298329941928387
8,table,jos,fp_exact,4,0.0036109170177951455
8,table,jos,fp_exact,5,0.0036062909639440477
8,table,jos,fp_exact,6,0.003633500018622726
8,table,jos,fp_exact,7,0.003608416998758912
8,table,jos,fp_exact,8,0.003585832950193435
8,table,jos,fp_exact,9,0.003608292026910931
8,table,2012,full,0,0.00395450001815334
8,table,2012,full,1,0.0040083329658955336
8,table,2012,full,2,0.0040021250024437904
8,table,2012,full,3,0.004088041954673827
8,table,2012,full,4,0.003982040972914547
8,table,2012,full,5,0.004020458029117435
8,table,2012,full,6,0.00392716599162668
8,table,2012,full,7,0.003958708024583757
8,table,2012,full,8,0.003962082962971181
8,table,2012,full,9,0.003931084007490426
8,table,2012,fp_exact,0,0.0038150829495862126
8,table,2012,fp_exact,1,0.0038356250151991844
8,table,2012,fp_exact,2,0.0037938329624012113
8,table,2012,fp_exact,3,0.003816500015091151
8,table,2012,fp_exact,4,0.003804458014201373
8,table,2012,fp_exact,5,0.003950957965571433
8,table,2012,fp_exact,6,0.00403000001097098
8,table,2012,fp_exact,7,0.0038488339632749557
8,table,2012,fp_exact,8,0.0038232920342125
8,table,2012,fp_exact,9,0.0038279169821180403
8,table,the,full,0,0.003758709004614502
8,table,the,full,1,0.003760416992008686
8,table,the,full,2,0.0038735000416636467
8,table,the,full,3,0.003685957984998822
8,table,the,full,4,0.003783749998547137
8,table,the,full,5,0.003714833001140505
8,table,the,full,6,0.003820582991465926
8,table,the,full,7,0.0037156249745748937
8,table,the,full,8,0.003972292004618794
8,table,the,full,9,0.0038225000025704503
8,table,the,fp_exact,0,0.0037662500399164855
8,table,the,fp_exact,1,0.0038637499674223363
8,table,the,fp_exact,2,0.0037847909843549132
8,table,the,fp_exact,3,0.003736249986104667
8,table,the,fp_exact,4,0.0038275420083664358
8,table,the,fp_exact,5,0.0037659170338883996
8,table,the,fp_exact,6,0.0039094589883461595
8,table,the,fp_exact,7,0.0038289999938569963
8,table,the,fp_exact,8,0.003930625040084124
8,table,the,fp_exact,9,0.0038294580299407244
8,table,a,full,0,0.004471957974601537
8,table,a,full,1,0.004438125004526228
8,table,a,full,2,0.004541916016023606
8,table,a,full,3,0.0044722919701598585
8,table,a,full,4,0.0045200829626992345
8,table,a,full,5,0.004470416984986514
8,table,a,full,6,0.004482541000470519
8,table,a,full,7,0.004469124949537218
8,table,a,full,8,0.004486875026486814
8,table,a,full,9,0.0044709580251947045
8,table,a,fp_exact,0,0.004048792005050927
8,table,a,fp_exact,1,0.003942708019167185
8,table,a,fp_exact,2,0.0040651250164955854
8,table,a,fp_exact,3,0.004020416992716491
8,table,a,fp_exact,4,0.0039046250167302787
8,table,a,fp_exact,5,0.003978332970291376
8,table,a,fp_exact,6,0.0039435410290025175
8,table,a,fp_exact,7,0.003972749982494861
8,table,a,fp_exact,8,0.003910708008334041
8,table,a,fp_exact,9,0.003981667046900839
8,table,(,full,0,0.004039290943183005
8,table,(,full,1,0.004193416971247643
8,table,(,full,2,0.004081249993760139
8,table,(,full,3,0.004186707956250757
8,table,(,full,4,0.004103333980310708
8,table,(,full,5,0.004250165948178619
8,table,(,full,6,0.0041042090160772204
8,table,(,full,7,0.004220874980092049
8,table,(,full,8,0.004090792033821344
8,table,(,full,9,0.004145249957218766
8,table,(,fp_exact,0,0.0043960000039078295
8,table,(,fp_exact,1,0.004337458987720311
8,table,(,fp_exact,2,0.0044709169887937605
8,table,(,fp_exact,3,0.004383666964713484
8,table,(,fp_exact,4,0.004390582966152579
8,table,(,fp_exact,5,0.004291624994948506
8,table,(,fp_exact,6,0.004323125001974404
8,table,(,fp_exact,7,0.004385417036246508
8,table,(,fp_exact,8,0.004401959013193846
8,table,(,fp_exact,9,0.004411417001392692
8,table,#,full,0,0.002952166018076241
8,table,#,full,1,0.0029541670228354633
8,table,#,full,2,0.002936083998065442
8,table,#,full,3,0.0030366249848157167
8,table,#,full,4,0.0029843749944120646
8,table,#,full,5,0.0029194580274634063
8,table,#,full,6,0.0029467089916579425
8,table,#,full,7,0.002903292013797909
8,table,#,full,8,0.002930290997028351
8,table,#,full,9,0.002977708005346358
8,table,#,fp_exact,0,0.0023741250042803586
8,table,#,fp_exact,1,0.0025027910014614463
8,table,#,fp_exact,2,0.0024350410094484687
8,table,#,fp_exact,3,0.0024220000486820936
8,table,#,fp_exact,4,0.002361833001486957
8,table,#,fp_exact,5,0.0025069579714909196
8,table,#,fp_exact,6,0.002417874988168478
8,table,#,fp_exact,7,0.0023856250336393714
8,table,#,fp_exact,8,0.0024060829891823232
8,table,#,fp_exact,9,0.002461083000525832
